text,labels
AT&T reportedly in talks to buy DirecTV for more than $50 billion,"[{""startOffset"": 0, ""endOffset"": 4, ""label"": ""org""}]"
Encana to sell its Jonah field properties in Wyoming for $1.8 billion,"[{""startOffset"": 0, ""endOffset"": 6, ""label"": ""org""}]"
Micex Slides With Ruble on Sanctions as Rosneft Falls on Yukos,"[{""startOffset"": 0, ""endOffset"": 5, ""label"": ""org""}, {""startOffset"": 40, ""endOffset"": 47, ""label"": ""org""}]"
Google Partners With Barnes & Noble To Challenge Amazon With Same-Day  ...,"[{""startOffset"": 0, ""endOffset"": 15, ""label"": ""org""}, {""startOffset"": 21, ""endOffset"": 35, ""label"": ""org""}, {""startOffset"": 49, ""endOffset"": 55, ""label"": ""org""}]"
Obama to name former Procter & Gamble CEO head of troubled veterans affairs  ...,"[{""startOffset"": 21, ""endOffset"": 37, ""label"": ""org""}]"
Pure Storage Raises $225M in Series F Funding,"[{""startOffset"": 0, ""endOffset"": 12, ""label"": ""org""}]"
GM to offer owners of recalled vehicles $500 off new purchase,"[{""startOffset"": 0, ""endOffset"": 2, ""label"": ""org""}]"
Mobile advertising drives Facebook earnings surge,"[{""startOffset"": 26, ""endOffset"": 34, ""label"": ""org""}]"
Amaya shares surge on acquisition of PokerStars owner,"[{""startOffset"": 0, ""endOffset"": 5, ""label"": ""org""}]"
Etihad rescues Alitalia with a deal to acquire 49% stake,"[{""startOffset"": 15, ""endOffset"": 23, ""label"": ""org""}]"
GM CEO Knew Of Chevy Cobalt Safety Review In December,"[{""startOffset"": 0, ""endOffset"": 1, ""label"": ""org""}]"
"KFC, Pizza Hut owner Yum Brands says China food scandal hurting sales, might  ...","[{""startOffset"": 0, ""endOffset"": 3, ""label"": ""org""}, {""startOffset"": 5, ""endOffset"": 14, ""label"": ""org""}]"
Pfizer Will Not Make Offer For AstraZeneca,"[{""startOffset"": 0, ""endOffset"": 6, ""label"": ""org""}, {""startOffset"": 31, ""endOffset"": 42, ""label"": ""org""}]"
Adobe Beats 2QFY14 Revenue And Earnings Estimates,"[{""startOffset"": 0, ""endOffset"": 5, ""label"": ""org""}]"
Chinese Twitter firm Weibo to go public in US,"[{""startOffset"": 21, ""endOffset"": 26, ""label"": ""org""}]"
"GM to Invest $450M in Michigan, Add 1400 Jobs","[{""startOffset"": 0, ""endOffset"": 2, ""label"": ""org""}]"
"eBay Tax Bill, Outlook Stymie Shares","[{""startOffset"": 0, ""endOffset"": 4, ""label"": ""org""}]"
"Southern Co., Turner Renewable buy Macho Springs solar power project","[{""startOffset"": 14, ""endOffset"": 30, ""label"": ""org""}, {""startOffset"": 35, ""endOffset"": 47, ""label"": ""org""}]"
"SunTrust and Citi Mortgage Rates Summary for Thursday, April 17","[{""startOffset"": 0, ""endOffset"": 8, ""label"": ""org""}, {""startOffset"": 13, ""endOffset"": 25, ""label"": ""org""}]"
Ford's Mulally expected to stand down before year end to hand wheel to Fields,"[{""startOffset"": 0, ""endOffset"": 4, ""label"": ""org""}]"
Google has set aside $30bn as it mulls foreign takeover targets,"[{""startOffset"": 0, ""endOffset"": 6, ""label"": ""org""}]"
Toyota moving its US base from California to Texas,"[{""startOffset"": 0, ""endOffset"": 6, ""label"": ""org""}]"
Company Update (NYSE:BAC): BofA ex-CFO agrees to settle NY lawsuit over  ...,"[{""startOffset"": 27, ""endOffset"": 31, ""label"": ""org""}]"
Backlash Over $106B Pfizer-AstraZeneca Deal Spans Atlantic,"[{""startOffset"": 20, ""endOffset"": 38, ""label"": ""org""}]"
Alstom shares up on GE takeover bid,"[{""startOffset"": 0, ""endOffset"": 6, ""label"": ""org""}, {""startOffset"": 20, ""endOffset"": 22, ""label"": ""org""}]"
Hewlett Packard Cutting Up to Another 16000 Jobs,"[{""startOffset"": 0, ""endOffset"": 15, ""label"": ""org""}]"
Nokia Sales Drop At Networks,"[{""startOffset"": 0, ""endOffset"": 5, ""label"": ""org""}]"
Free coffee at McDonald's amid breakfast war,"[{""startOffset"": 15, ""endOffset"": 25, ""label"": ""org""}]"
CORRECT: Pfizer Continues Political Campaign For AstraZeneca Takeover,"[{""startOffset"": 9, ""endOffset"": 15, ""label"": ""org""}, {""startOffset"": 49, ""endOffset"": 60, ""label"": ""org""}]"
Tiffany Reports Stellar Q1 Earnings - Analyst Blog,"[{""startOffset"": 0, ""endOffset"": 7, ""label"": ""org""}]"
"Valeant Pharmaceuticals International sweetens takeover offer for Allergan, sells  ...","[{""startOffset"": 0, ""endOffset"": 37, ""label"": ""org""}, {""startOffset"": 66, ""endOffset"": 73, ""label"": ""org""}]"
Bank Of America To Pay $9.3 Billion To Settle Mortgage Bond Claims,"[{""startOffset"": 0, ""endOffset"": 15, ""label"": ""org""}]"
Top Sony executives to return bonuses,"[{""startOffset"": 4, ""endOffset"": 8, ""label"": ""org""}]"
Kraft recalls 96000 pounds of mislabeled hot dogs,"[{""startOffset"": 0, ""endOffset"": 5, ""label"": ""org""}]"
"Deutsche Bank Q2 profit up 16 percent, debt trading steady","[{""startOffset"": 0, ""endOffset"": 13, ""label"": ""org""}]"
"Mortgage Rate Summary for Suntrust, Capital One Jul 6, 2014","[{""startOffset"": 26, ""endOffset"": 34, ""label"": ""org""}, {""startOffset"": 36, ""endOffset"": 46, ""label"": ""org""}]"
Coach (COH) Releases Quarterly Earnings Results,"[{""startOffset"": 0, ""endOffset"": 5, ""label"": ""org""}]"
"Why DSW, Inc. Shares Plummeted Today","[{""startOffset"": 4, ""endOffset"": 7, ""label"": ""org""}]"
Herbalife falls 13% on report of criminal probe,"[{""startOffset"": 0, ""endOffset"": 9, ""label"": ""org""}]"
Facebook Earnings: The Social Network Enters A New Era Of Slow Growth,"[{""startOffset"": 0, ""endOffset"": 8, ""label"": ""org""}]"
Intel Corp (NASDAQ:INTC) Shares Hits Ten year Highs with Express Inc (NYSE  ...,"[{""startOffset"": 0, ""endOffset"": 10, ""label"": ""org""}]"
GM recalls 3.4 million more cars for ignition problem,"[{""startOffset"": 0, ""endOffset"": 2, ""label"": ""org""}]"
Walt Disney Holds Bullish History for Longs Trading Shares off Evening Earnings,"[{""startOffset"": 0, ""endOffset"": 11, ""label"": ""org""}]"
Merck's Investigational Chronic Hepatitis C Combination Therapy MK-5172/MK  ...,"[{""startOffset"": 0, ""endOffset"": 5, ""label"": ""org""}]"
General Motors recall repairs to start Monday,"[{""startOffset"": 0, ""endOffset"": 14, ""label"": ""org""}]"
Has Microsoft waited far too long to bring Office to the iPad?,"[{""startOffset"": 4, ""endOffset"": 13, ""label"": ""org""}]"
Report claims Yahoo! plans to lure YouTube stars to its own video service,"[{""startOffset"": 14, ""endOffset"": 20, ""label"": ""org""}, {""startOffset"": 35, ""endOffset"": 42, ""label"": ""org""}]"
Satya Nadella reveals new vision for Microsoft at Code Conference,"[{""startOffset"": 37, ""endOffset"": 46, ""label"": ""org""}]"
"AT&T Announces Mobile Share Data On 30+ GM Vehicles By Year's End, $10  ...","[{""startOffset"": 0, ""endOffset"": 4, ""label"": ""org""}]"
Nokia Lumia 830 finds its way online,"[{""startOffset"": 0, ""endOffset"": 5, ""label"": ""org""}]"
Is this HTC's Google Nexus 9 tablet?,"[{""startOffset"": 8, ""endOffset"": 11, ""label"": ""org""}]"
Google Ready to Release 64-bit Android Devices,"[{""startOffset"": 0, ""endOffset"": 6, ""label"": ""org""}]"
